Distance From Airport,Aeroporto1,Distance To Airport,Aeroporto2,Distance (km), Flght Time (Hr), Flight Time (Minutes)
"Tancredo Neves International Airport, Belo Horizonte CNF",CNF,"Afonso Pena Airport, Curitiba CWB",CWB,"846,16","  1,93 ",  116 
"Guarulhos - Governador André Franco Montoro International Airport, São Paulo GRU",GRU,"Cataratas International Airport, Foz Do Iguaçu IGU",IGU,"845,32","  1,93 ",  116 
"Congonhas Airport, São Paulo CGH",CGH,"Salgado Filho Airport, Porto Alegre POA",POA,"837,71","  1,92 ",  115 
"Guarulhos - Governador André Franco Montoro International Airport, São Paulo GRU",GRU,"Santa Genoveva Airport, Goiânia GYN",GYN,"809,02","  1,89 ",  113 
"Presidente Juscelino Kubistschek International Airport, Brasília BSB",BSB,"Viracopos International Airport, Campinas VCP",VCP,"797,96","  1,87 ",  112 
"Rio Galeão – Tom Jobim International Airport, Rio De Janeiro GIG",GIG,"Hercílio Luz International Airport, Florianópolis FLN",FLN,"758,99","  1,83 ",  110 
"Guarulhos - Governador André Franco Montoro International Airport, São Paulo GRU",GRU,"Eurico de Aguiar Salles Airport, Vitória VIX",VIX,"729,58","  1,80 ",  108 
"Rio Galeão – Tom Jobim International Airport, Rio De Janeiro GIG",GIG,"Afonso Pena Airport, Curitiba CWB",CWB,"672,68","  1,74 ",  104 
"Afonso Pena Airport, Curitiba CWB",CWB,"Santos Dumont Airport, Rio De Janeiro SDU",SDU,"675,51","  1,74 ",  104 
"Deputado Luiz Eduardo Magalhães International Airport, Salvador SSA",SSA,"Guararapes - Gilberto Freyre International Airport, Recife REC",REC,"648,62","  1,71 ",  103 
"Presidente Juscelino Kubistschek International Airport, Brasília BSB",BSB,"Tancredo Neves International Airport, Belo Horizonte CNF",CNF,"590,87","  1,65 ",  99 
"Presidente Juscelino Kubistschek International Airport, Brasília BSB",BSB,"Leite Lopes Airport, Ribeirão Preto RAO",RAO,"585,86","  1,64 ",  98 
"Guarulhos - Governador André Franco Montoro International Airport, São Paulo GRU",GRU,"Regional de Maringá - Sílvio Nane Junior Airport, Maringá MGF",MGF,"564,98","  1,62 ",  97 
"Afonso Pena Airport, Curitiba CWB",CWB,"Salgado Filho Airport, Porto Alegre POA",POA,"533,94","  1,59 ",  95 
"Guarulhos - Governador André Franco Montoro International Airport, São Paulo GRU",GRU,"Ten. Cel. Aviador César Bombonato Airport, Uberlândia UDI",UDI,"537,73","  1,59 ",  95 
"Tancredo Neves International Airport, Belo Horizonte CNF",CNF,"Congonhas Airport, São Paulo CGH",CGH,"524,33","  1,57 ",  94 
"Guarulhos - Governador André Franco Montoro International Airport, São Paulo GRU",GRU,"Hercílio Luz International Airport, Florianópolis FLN",FLN,"514,96","  1,56 ",  94 
"Viracopos International Airport, Campinas VCP",VCP,"Tancredo Neves International Airport, Belo Horizonte CNF",CNF,"498,75","  1,55 ",  93 
"Rio Galeão – Tom Jobim International Airport, Rio De Janeiro GIG",GIG,"Leite Lopes Airport, Ribeirão Preto RAO",RAO,"502,39","  1,55 ",  93 
"Guarulhos - Governador André Franco Montoro International Airport, São Paulo GRU",GRU,"Tancredo Neves International Airport, Belo Horizonte CNF",CNF,"496,44","  1,54 ",  92 
"Guarulhos - Governador André Franco Montoro International Airport, São Paulo GRU",GRU,"Pampulha - Carlos Drummond de Andrade Airport, Belo Horizonte PLU",PLU,"476,2","  1,52 ",  91 
"Guarulhos - Governador André Franco Montoro International Airport, São Paulo GRU",GRU,"Governador José Richa Airport, Londrina LDB",LDB,"475,4","  1,52 ",  91 
"Rio Galeão – Tom Jobim International Airport, Rio De Janeiro GIG",GIG,"Eurico de Aguiar Salles Airport, Vitória VIX",VIX,"417,71","  1,46 ",  88 
"Viracopos International Airport, Campinas VCP",VCP,"Santos Dumont Airport, Rio De Janeiro SDU",SDU,"406,73","  1,45 ",  87 
"Rio Galeão – Tom Jobim International Airport, Rio De Janeiro GIG",GIG,"Viracopos International Airport, Campinas VCP",VCP,"398,39","  1,44 ",  86 
"Tancredo Neves International Airport, Belo Horizonte CNF",CNF,"Santos Dumont Airport, Rio De Janeiro SDU",SDU,"374,86","  1,41 ",  85 
"Rio Galeão – Tom Jobim International Airport, Rio De Janeiro GIG",GIG,"Tancredo Neves International Airport, Belo Horizonte CNF",CNF,362,"  1,40 ",  84 
"Congonhas Airport, São Paulo CGH",CGH,"Santos Dumont Airport, Rio De Janeiro SDU",SDU,"365,58","  1,40 ",  84 
"Guarulhos - Governador André Franco Montoro International Airport, São Paulo GRU",GRU,"Afonso Pena Airport, Curitiba CWB",CWB,"359,08","  1,39 ",  83 
"Rio Galeão – Tom Jobim International Airport, Rio De Janeiro GIG",GIG,"Congonhas Airport, São Paulo CGH",CGH,"359,65","  1,39 ",  83 
"Guarulhos - Governador André Franco Montoro International Airport, São Paulo GRU",GRU,"Santos Dumont Airport, Rio De Janeiro SDU",SDU,"343,33","  1,38 ",  83 
"Viracopos International Airport, Campinas VCP",VCP,"Afonso Pena Airport, Curitiba CWB",CWB,"348,4","  1,38 ",  83 
"Guarulhos - Governador André Franco Montoro International Airport, São Paulo GRU",GRU,"Rio Galeão – Tom Jobim International Airport, Rio De Janeiro GIG",GIG,"336,78","  1,37 ",  82 
"Congonhas Airport, São Paulo CGH",CGH,"Afonso Pena Airport, Curitiba CWB",CWB,"331,11","  1,36 ",  82 
"Guarulhos - Governador André Franco Montoro International Airport, São Paulo GRU",GRU,"Leite Lopes Airport, Ribeirão Preto RAO",RAO,"288,68","  1,32 ",  79 
"Presidente Juscelino Kubistschek International Airport, Brasília BSB",BSB,"Santa Genoveva Airport, Goiânia GYN",GYN,"162,63","  1,18 ",  71 
